provincia,cases_q0,cases_q1,cases_q2,cases_q3,deaths_q0,deaths_q1,deaths_q2,deaths_q3
ACOMAYO,0,2.465,7.395,9.86,0,0.1425,0.4275,0.57
ANTA,0,12.9275,38.7825,51.71,0,0.3575,1.0725,1.43
CALCA,0,7.0725,21.2175,28.29,0,0.25,0.75,1
CANAS,0,1.25,3.75,5,0,0.1075,0.3225,0.43
CANCHIS,0,18.8925,56.6775,75.57,0,0.535,1.605,2.14
CHUMBIVILCAS,0,4.5,13.5,18,0,0.1075,0.3225,0.43
CUSCO,0,280.215,840.645,1120.86,0,4.785,14.355,19.14
ESPINAR,0,8.8575,26.5725,35.43,0,0.215,0.645,0.86
LA CONVENCION,0,19.8575,59.5725,79.43,0,0.5725,1.7175,2.29
PARURO,0,4.6075,13.8225,18.43,0,0.1425,0.4275,0.57
PAUCARTAMBO,0,2.1425,6.4275,8.57,0,0.035,0.105,0.14
QUISPICANCHI,0,20.8225,62.4675,83.29,0,0.3575,1.0725,1.43
URUBAMBA,0,11.1775,33.5325,44.71,0,0.25,0.75,1
